Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,Intermediate,Life Sciences,Medium,Female,94,High,Junior,Sales Executive,Very high,Single,5993,19479,8,Yes,11,Excellent,Poor,0,8,0,Poor,6,4,0,5
49,No,Travel_Frequently,279,Research & Development,8,Schooling,Life Sciences,High,Male,61,Medium,Junior,Research Scientist,Medium,Married,5130,24907,1,No,23,Outstanding,Outstanding,1,10,3,Better,10,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,2,Intermediate,Other,Very high,Male,92,Medium,Fresher,Laboratory Technician,High,Single,2090,2396,6,Yes,15,Excellent,Good,0,7,3,Better,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,Masters,Life Sciences,Very high,Female,56,High,Fresher,Research Scientist,High,Married,2909,23159,1,Yes,11,Excellent,Excellent,0,8,3,Better,8,7,3,0
27,No,Travel_Rarely,591,Research & Development,2,Schooling,Medical,Low,Male,40,High,Fresher,Laboratory Technician,Medium,Married,3468,16632,9,No,12,Excellent,Outstanding,1,6,3,Better,2,2,2,2
32,No,Travel_Frequently,1005,Research & Development,2,Intermediate,Life Sciences,Very high,Male,79,High,Fresher,Laboratory Technician,Very high,Single,3068,11864,0,No,13,Excellent,Excellent,0,8,2,Good,7,7,3,6
59,No,Travel_Rarely,1324,Research & Development,3,Bachelors,Medical,High,Female,81,Very high,Fresher,Laboratory Technician,Low,Married,2670,9964,4,Yes,20,Outstanding,Poor,3,12,3,Good,1,0,0,0
30,No,Travel_Rarely,1358,Research & Development,24,Schooling,Life Sciences,Very high,Male,67,High,Fresher,Laboratory Technician,High,Divorced,2693,13335,1,No,22,Outstanding,Good,1,1,2,Better,1,0,0,0
38,No,Travel_Frequently,216,Research & Development,23,Bachelors,Life Sciences,Very high,Male,44,Medium,Senior,Manufacturing Director,High,Single,9526,8787,0,No,21,Outstanding,Good,0,10,2,Better,9,7,1,8
36,No,Travel_Rarely,1299,Research & Development,27,Bachelors,Medical,High,Male,94,High,Junior,Healthcare Representative,High,Married,5237,16577,6,No,13,Excellent,Good,2,17,3,Good,7,7,7,7
